"university_id","university_name","country","created_at"
"1","University of Oxford","United Kingdom","2026-05-25 19:09:16"
"2","University of Manchester","United Kingdom","2026-05-25 19:52:13"
"3","University of Cambridge","United Kingdom","2026-05-25 20:08:45"
"4","University of Luxembourg","Luxembourg","2026-05-25 20:27:54"
"5","University of Bristol","United Kingdom","2026-05-25 20:50:05"
"6","University of Bologna","Italy","2026-05-25 21:00:58"
"7","University of Birmingham","United Kingdom","2026-05-25 21:09:02"
"8","University of Amsterdam","Netherlands","2026-05-25 21:18:02"
"9","University College London","United Kingdom","2026-05-25 21:31:21"
"10","TU Darmstadt","Germany","2026-05-25 21:34:48"
"11","Technical University of Munich","Germany","2026-05-25 21:56:34"
"12","Technical University of Denmark","Denmark","2026-05-25 21:59:37"
"13","RWTH Aachen","Germany","2026-05-25 22:12:44"
"14","PSL Paris","France","2026-05-25 22:23:22"
"15","Paris-Saclay","France","2026-05-25 22:26:25"
"16","KU Leuven","Belgium","2026-05-25 22:32:04"
"17","Imperial College","United Kingdom","2026-05-25 23:12:18"
"18","University of Groningen","Netherlands","2026-05-25 23:27:38"
"19","ETH Zurich","Switzerland","2026-05-25 23:35:29"
"20","Chalmers University of Technology","Sweden","2026-05-25 23:42:22"
"21","Aarhus University","Denmark","2026-05-25 23:46:13"
"22","University of Edinburgh","United Kingdom","2026-05-26 00:06:08"
"23","University of Southampton","United Kingdom","2026-05-26 00:14:10"
"24","University of Vienna","Austria","2026-05-26 00:21:00"
"25","Linkoping University","Sweden","2026-05-26 00:43:01"
"26","University of Erlangen-Nuremberg","Germany","2026-05-26 01:11:33"
"27","Karlsruhe Institute of Technology","Germany","2026-05-26 01:43:09"
"28","Technische Universitat Dresden","Germany","2026-05-26 02:18:46"
"29","University College Dublin","Ireland","2026-05-26 02:33:49"
"30","University of Freiburg","Germany","2026-05-26 03:34:12"
"31","University of Glasgow","United Kingdom","2026-05-26 03:38:03"
"32","University of Sheffield","United Kingdom","2026-05-26 03:45:21"
"33","University of Surrey","United Kingdom","2026-05-26 03:58:51"
"34","Aalborg University","Denmark","2026-05-26 04:06:19"
"35","Institut Polytechnique de Paris","France","2026-05-26 04:30:30"
"36","LMU Munich","Germany","2026-05-26 04:38:46"
"37","Ruhr University Bochum","Germany","2026-05-26 05:06:28"
"38","TU Wien","Austria","2026-05-26 05:43:26"
"39","University of Bonn","Germany","2026-05-26 05:56:14"
"40","University of Freiburg","Austria","2026-05-26 08:59:48"
"41","University of Stuttgart","Germany","2026-05-26 09:06:58"
"42","University of Warwick","United Kingdom","2026-05-26 09:13:24"
"43","VU University","Amsterdam","2026-05-26 09:21:47"
"44","University of Macedonia","Greece","2026-05-26 09:45:46"
"45","Utrecht University","Netherlands","2026-05-26 11:12:44"
"46","EPFL","Switzerland","2026-05-26 11:19:38"
"47","Johannes Kepler University","Austria","2026-05-26 11:22:56"
